Authority,Botanical Name,Common Name,Council District,Epithet,Genus,Park_Side_Street,Location,Park Name,Side,Site ID,Street,Address,Air Quality Benefits ($),CO2 Avoided (in lbs.),CO2 Sequestered (in lbs.),DBH,Energy Benefits ($),Greenhouse CO2 Benefits ($),kWh Saved,Latitude,Leaf Surface Area (in sq. ft.),Longitude,Pollutants Saved (in lbs.),Property Benefits ($),Site,Stormwater Benefits ($),Stormwater Gallons Saved,Therms Saved,Total Yearly Eco Benefits ($)
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Cir,"(42.8321552494, -78.8157806013)",Mckinley Parkway,Front,125727,Mckinley Cir,6,15.53,401.6,339.7,19,90.63,2.07,140.65,42.83215525,176.75,-78.8157806,2.55,106.35,2,19.77,2471.13,50.38,234.34
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Soldier'S Circle_Median_Soldiers Pl,"(42.9249784071771, -78.873345212402)",Soldier'S Circle,Median,63704,Soldiers Pl,16,12.72,333.01,271.33,18,85.94,1.71,135.12,42.92497841,171.79,-78.87334521,2.1,103.36,1,16.59,2073.85,47.6,220.32
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8398890079952, -78.8151963496)",Mckinley Parkway,Front,121859,Mckinley Pkwy,288,20.06,485.56,450.28,26,121.37,2.41,197.01,42.83988901,209.22,-78.81519635,3.19,125.89,1,28.1,3512.01,66.6,297.83
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8536051429, -78.8218090775)",Mckinley Parkway,Front,94429,Mckinley Pkwy,815,14.38,360.27,315.1,20,95.32,1.87,146.18,42.85360514,181.71,-78.82180908,2.34,109.33,1,19.24,2405.06,53.15,240.14
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Bidwell Parkway_Median_Bidwell Pkwy,"(42.9226207165555, -78.8784767350988)",Bidwell Parkway,Median,46949,Bidwell Pkwy,82,14.58,385.81,314.34,18,85.94,1.98,135.12,42.92262072,171.79,-78.87847674,2.41,103.36,1,18.31,2288.39,47.6,224.16
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8473491124, -78.818620087)",Mckinley Parkway,Front,121669,Mckinley Pkwy,578,21.03,507.89,472.94,27,125.64,2.51,206.07,42.84734911,213.73,-78.81862009,3.34,128.6,1,29.6,3700.28,68.73,307.38
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8540054779, -78.8220233119)",Mckinley Parkway,Front,94425,Mckinley Pkwy,833,18.12,440.9,404.97,24,112.82,2.23,178.89,42.85400548,200.2,-78.82202331,2.9,120.46,1,25.08,3135.47,62.33,278.72
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",South,CARPINIFOLIA,ULMUS,Mckinley Parkway_Front_Mckinley Pkwy,"(42.8456517837, -78.8168907799)",Mckinley Parkway,Front,119168,Mckinley Pkwy,496,14.38,360.27,315.1,20,95.32,1.87,146.18,42.84565178,181.71,-78.81689078,2.34,109.33,1,19.24,2405.06,53.15,240.14
Olmsted,ULMUS CARPINIFOLIA 'CHRISTINE BUISMAN',"ELM, CHRISTINE BUISMAN",Delaware,CARPINIFOLIA,ULMUS,Chapin Parkway_Median_Chapin Pkwy,"(42.9209720796633, -78.8683138691661)",Chapin Parkway,Median,55358,Chapin Pkwy,8,15.53,401.6,339.7,19,90.63,2.07,140.65,42.92097208,176.75,-78.86831387,2.55,106.35,1,19.77,2471.13,50.38,234.34
Olmsted,ULMUS JAPONICA X PUMILA X WILSONIANA,"ELM, TRIUMPH",Delaware,JAPONICA,ULMUS,Scajaquada Expressway_Front_Humboldt Pkwy,"(42.9297002387, -78.8534667164)",Scajaquada Expressway,Front,63777,Humboldt Pkwy,86,6.22,167.15,133.54,10,41.2,0.9,58.54,42.92970024,132.09,-78.85346672,1.05,79.48,1,7.93,991.54,23.44,135.73
